Quote	Verb	Type	Author	Title	Page	Original Publication Date	Original Publisher	Reprint Collection or URL	Reprint Publisher	Reprint Publication Date	Pseudonymn	Translator	Social Profile Information														
It would have taken a very little thing at that moment to spill his sorrow.	wash	literature	William Maxwell	They Came Like Swallows	10	1937	"Harper Brothers, New York and London"	https://archive.org/details/theycamelikeswal00maxw	Archive.org Open Library	2010		Digitized by the Internet Archive															
If his mother were not there to protect him from whatever was unpleasant&mdash;from the weather and from Robert and from his father&mdash;what would he do?	wash	literature	William Maxwell	They Came Like Swallows	10	1937	"Harper Brothers, New York and London"	https://archive.org/details/theycamelikeswal00maxw	Archive.org Open Library	2010		Digitized by the Internet Archive															

Whatever would become of him in a world where there was neither warmth nor comfort nor love?	wash	literature	William Maxwell	They Came Like Swallows	10	1937	"Harper Brothers, New York and London"	https://archive.org/details/theycamelikeswal00maxw	Archive.org Open Library	2010		Digitized by the Internet Archive															

Feeling altogether sorry for himself, he began to imagine what it would be like if she were not there.	wash	literature	William Maxwell	They Came Like Swallows	10	1937	"Harper Brothers, New York and London"	https://archive.org/details/theycamelikeswal00maxw	Archive.org Open Library	2010		Digitized by the Internet Archive															

When his mother found the needle she had been looking for, she threaded it. Then she took up a square of white cloth.	wash	literature	William Maxwell	They Came Like Swallows	10-11	1937	"Harper Brothers, New York and London"	https://archive.org/details/theycamelikeswal00maxw	Archive.org Open Library	2010		Digitized by the Internet Archive															

Considering how common illness is, how tremendous the spiritual change that it brings, how astonishing, when the lights of health go down,... what wastes and deserts of the soul a slight attack of influenza brings to light....	wash	literature	Virginia Woolf	"""On Being Ill"""	32	1926	The Criterion	https://thenewcriterion1926.files.wordpress.com/2014/12/woolf-on-being-ill.pdf																			
[W]hat ancient and obdurate oaks are uprooted in us in the act of sickness.	wash	literature	Virginia Woolf	"""On Being Ill"""	32	1926	The Criterion	https://thenewcriterion1926.files.wordpress.com/2014/12/woolf-on-being-ill.pdf																			
[I]t becomes strange indeed that illness has not taken its place with love, battle, and jealousy among the prime themes of literature.	wash	literature	Virginia Woolf	"""On Being Ill"""	32	1926	The Criterion	https://thenewcriterion1926.files.wordpress.com/2014/12/woolf-on-being-ill.pdf																			
Novels, one would have thought, would have been devoted to influenza; epic poems to typhoid; odes to pneumonia, lyrics to toothache. But no....	wash	literature	Virginia Woolf	"""On Being Ill"""	32	1926	The Criterion	https://thenewcriterion1926.files.wordpress.com/2014/12/woolf-on-being-ill.pdf																			
[O]f all this daily drama of the body there is no record.	wash	literature	Virginia Woolf	"""On Being Ill"""	33	1926	The Criterion	https://thenewcriterion1926.files.wordpress.com/2014/12/woolf-on-being-ill.pdf																			
More practically speaking, the public would say that a novel devoted to influenza lacked plot....	wash	literature	Virginia Woolf	"""On Being Ill"""	33	1926	The Criterion	https://thenewcriterion1926.files.wordpress.com/2014/12/woolf-on-being-ill.pdf																			
[A]mong the drawbacks of illness as matter for literature there is the poverty of the language.	wash	literature	Virginia Woolf	"""On Being Ill"""	33	1926	The Criterion	https://thenewcriterion1926.files.wordpress.com/2014/12/woolf-on-being-ill.pdf																			

English, which can express the thoughts of Hamlet and the tragedy of Lear, has no words for the shiver and the headache.	wash	literature	Virginia Woolf	"""On Being Ill"""	34	1926	The Criterion	https://thenewcriterion1926.files.wordpress.com/2014/12/woolf-on-being-ill.pdf																			
It has all grown one way. The merest schoolgirl, when she falls in love, has Shakespeare, Donne, Keats to speak her mind for her; but let a sufferer try to describe a pain in his head to a doctor and language at once runs dry.	wash	literature	Virginia Woolf	"""On Being Ill"""	34	1926	The Criterion	https://thenewcriterion1926.files.wordpress.com/2014/12/woolf-on-being-ill.pdf																			
He is forced to coin words himself, and, taking his pain in one hand, and a lump of pure sound in the other...so to crush them together that a brand new word in the end drops out.	wash	literature	Virginia Woolf	"""On Being Ill"""	34	1926	The Criterion	https://thenewcriterion1926.files.wordpress.com/2014/12/woolf-on-being-ill.pdf																			
Yet it is not only a new language that we need, primitive, subtle, sensual, obscene, but a new hierarchy of the passions; love must be deposed in favour of a temperature of 104....	wash	literature	Virginia Woolf	"""On Being Ill"""	34	1926	The Criterion	https://thenewcriterion1926.files.wordpress.com/2014/12/woolf-on-being-ill.pdf																			
But to return to the invalid. &lsquo;I am in bed with influenza,&rsquo; he says, and actually complains that he gets no sympathy.	wash	literature	Virginia Woolf	"""On Being Ill"""	34	1926	The Criterion	https://thenewcriterion1926.files.wordpress.com/2014/12/woolf-on-being-ill.pdf																			
&lsquo;I am in bed with influenza&rsquo; but what does that convey of the great experience; how the world has changed its shape; the tools of business grown remote; the sounds of festival become romantic like a merry-go-round heard across far fields	wash	literature	Virginia Woolf	"""On Being Ill"""	34	1926	The Criterion	https://thenewcriterion1926.files.wordpress.com/2014/12/woolf-on-being-ill.pdf																			
There is, let us confess it (and illness is the great confessional) a childish outspokenness in illness; things are said, truths blurted out, which the cautious respectability of health conceals.	wash	literature	Virginia Woolf	"""On Being Ill"""	36	1926	The Criterion	https://thenewcriterion1926.files.wordpress.com/2014/12/woolf-on-being-ill.pdf																			
[I]t is to the poets that we turn. Illness makes us disinclined for the long campaigns that prose exacts.	wash	literature	Virginia Woolf	"""On Being Ill"""	40	1926	The Criterion	https://thenewcriterion1926.files.wordpress.com/2014/12/woolf-on-being-ill.pdf																			
In illness words seem to possess a mystic quality.	wash	literature	Virginia Woolf	"""On Being Ill"""	41	1926	The Criterion	https://thenewcriterion1926.files.wordpress.com/2014/12/woolf-on-being-ill.pdf																			
Incomprehensibility has an enormous power over us in illness, more legitimately perhaps than the upright will allow.	wash	literature	Virginia Woolf	"""On Being Ill"""	41	1926	The Citerion	https://thenewcriterion1926.files.wordpress.com/2014/12/woolf-on-being-ill.pdf																			
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
